date,covid_count,covid-19_count,coronavirus_count,covid_economy_count,covid_job_count,covid_cash_count,covid_money_count,covid_blm_count,covid_biden_count,covid_trump_count,covid_election_count,covid_china_count,covid_mask_count,covid_shutdown_count,covid_test_count,covid_sad_count,covid_depressed_count,covid_depressing_count,covid_hopeless_count,covid_bored_count,covid_death_count,covid_fatality_count,covid_vaccine_count,covid_breath_count,covid_chills_count,covid_cough_count,covid_fatigue_count,covid_fever_count,covid_headache_count,covid_shortness_count,covid_smell_count,covid_sore_count,covid_taste_count,total_test_increase,death_increase,positive_increase
2020-03-03,6455,5381,20437,95,101,21,92,1,20,203,39,701,430,2,1283,30,2,1,3,1,399,192,390,55,13,172,20,178,20,37,3,43,5,266,3,48
2020-03-04,6672,5561,20886,96,123,21,113,0,53,151,41,683,306,6,1381,19,4,4,0,3,402,154,325,65,9,173,21,174,13,40,3,28,5,1119,2,139
2020-03-05,7434,6181,21201,116,108,24,113,0,35,219,28,720,310,4,1680,15,3,3,2,4,496,160,341,55,5,172,15,165,14,38,5,32,6,641,4,107
2020-03-06,8186,6732,22031,117,148,42,158,0,31,203,32,773,405,10,1852,35,5,3,2,3,495,175,348,76,17,233,24,221,24,57,2,48,6,873,6,112
2020-03-07,8077,6530,20570,116,115,15,120,0,27,207,41,579,316,8,2120,28,3,3,0,5,538,185,395,68,11,201,12,198,13,51,7,46,8,919,1,178
2020-03-08,8340,6778,20256,111,154,18,119,0,29,298,49,679,323,13,1866,25,2,7,0,4,465,154,361,74,15,252,20,238,20,42,2,53,1,935,4,198
2020-03-09,10814,8726,26507,238,193,48,221,0,55,457,66,839,357,15,2117,39,4,5,0,0,519,126,453,89,32,270,37,272,34,69,5,74,10,1894,4,292
2020-03-10,14309,11592,32203,263,252,41,256,0,80,461,78,985,513,22,2750,46,8,3,1,8,720,199,540,99,16,386,37,378,24,68,8,85,13,2676,2,387
2020-03-11,17533,13978,37896,326,316,49,293,0,194,598,113,1091,510,36,3355,81,10,9,6,11,869,220,555,166,24,451,43,445,36,111,8,101,14,4028,6,509
2020-03-12,27257,21358,59027,386,455,88,498,0,176,1028,113,1629,607,67,5402,107,13,10,5,14,1065,264,886,220,51,678,63,653,62,135,14,151,9,5793,8,671
2020-03-13,29327,22716,53646,382,625,98,545,3,151,1315,139,1565,635,68,6150,132,16,15,2,19,1019,286,937,253,44,713,56,715,70,176,11,171,18,10334,4,1072
2020-03-14,24019,18247,41490,234,527,75,400,1,84,936,82,1265,583,71,5204,102,9,9,5,26,772,197,699,210,38,604,57,641,51,132,9,135,18,5722,9,924
2020-03-15,24567,18678,40221,294,599,67,426,0,98,789,101,1192,677,61,4754,96,13,15,4,23,859,192,743,243,52,590,69,638,53,154,20,159,21,8300,15,1291
2020-03-16,29045,22008,43254,407,815,108,532,0,281,770,139,1316,697,97,5003,138,36,15,5,30,1012,202,890,236,49,686,71,728,66,144,27,145,33,20123,21,1748
2020-03-17,30052,22470,41485,468,906,176,600,3,150,883,143,1446,733,103,5415,127,41,16,5,34,929,203,849,257,48,654,83,729,63,166,22,180,30,18441,23,2588
2020-03-18,33479,24834,41032,599,1158,169,792,2,294,1059,162,1640,900,134,6122,132,56,21,10,53,1045,198,992,259,29,667,77,722,70,163,35,158,56,27809,32,3089
2020-03-19,33258,24256,41238,580,1244,188,776,0,160,1076,129,1807,992,129,5959,152,42,10,9,64,1017,166,735,267,55,677,56,716,68,148,40,158,35,30168,48,4651
2020-03-20,32567,23370,39942,504,1402,152,697,3,138,1040,147,1538,1129,122,5325,140,56,19,9,55,1048,186,710,247,43,637,73,650,67,140,45,151,60,39905,69,6147
2020-03-21,29961,21021,35226,495,1190,138,736,0,129,935,79,1522,1035,110,5164,139,51,17,10,55,1056,188,648,264,45,619,89,636,69,144,63,138,58,47414,62,6793
2020-03-22,29534,20546,35121,520,1108,154,644,1,152,925,94,1472,1151,144,4849,136,52,13,8,60,993,197,647,237,18,517,49,495,59,136,90,123,72,47221,146,9125
2020-03-23,32509,22499,35080,595,1334,164,739,0,153,1012,111,1480,1177,139,5299,153,55,25,15,70,1182,215,720,218,49,588,52,588,70,116,155,144,118,60629,101,11439
2020-03-24,34108,23444,35362,942,1405,187,843,2,133,1561,165,1485,1205,195,5404,192,61,29,12,55,1349,246,704,273,41,540,63,602,64,123,110,141,98,69185,234,10769
2020-03-25,34246,23044,34642,856,1538,172,982,3,189,1344,155,1311,1164,202,5123,164,48,15,8,74,1385,253,704,232,30,512,64,595,51,121,221,93,186,82609,235,12908
2020-03-26,34765,23084,34613,808,1541,213,1004,1,150,1289,137,1578,1140,163,5532,175,39,25,9,63,1433,239,615,287,31,513,54,553,84,120,140,130,114,103818,320,17720
2020-03-27,35726,23266,34350,800,1464,247,976,2,153,1308,130,1794,1249,152,6043,209,52,26,10,51,1610,242,707,259,32,554,77,538,55,132,156,116,135,102415,406,19128
2020-03-28,31234,21150,30014,561,1285,177,786,1,156,1133,131,1453,1147,115,4871,177,45,24,7,44,1374,178,581,229,30,400,49,414,58,118,79,81,69,105158,538,19692
2020-03-29,31198,20507,29104,492,1138,140,765,1,138,981,110,1498,1199,91,4384,140,55,21,5,60,1287,163,566,207,26,390,50,429,57,107,79,110,73,85907,521,19581
2020-03-30,33743,22053,29037,552,1397,163,823,2,147,1220,114,1643,1347,119,4646,177,47,27,7,109,1406,195,642,202,33,422,45,411,49,91,108,98,92,119396,589,22042
2020-03-31,33452,21747,28039,518,1416,163,824,3,169,1034,142,1290,1629,117,4526,187,47,25,8,59,1269,171,647,218,24,422,49,439,41,115,109,87,93,116183,890,24853
2020-04-01,32930,20955,27960,553,1506,168,909,3,108,1063,106,1487,1478,144,4783,179,41,26,5,72,1365,156,644,220,26,386,65,435,61,99,105,94,100,109215,1010,25791
2020-04-02,34357,21336,29682,594,1611,171,990,1,147,1245,147,1536,1819,127,4531,185,47,21,4,67,1410,144,857,182,26,381,52,401,45,86,103,88,113,121237,1172,28060
2020-04-03,33884,20587,29018,578,1637,166,980,4,138,1364,150,1514,1859,134,4469,216,56,14,8,61,1394,174,856,214,23,373,45,349,50,73,95,82,91,133020,1286,32076
2020-04-04,30035,18063,25004,482,1535,160,856,0,107,1158,159,1223,1761,91,3633,156,44,21,14,62,1163,113,711,188,26,363,43,330,37,76,78,66,76,228797,1482,33212
2020-04-05,29517,17738,23869,478,1336,128,839,2,160,1131,139,1159,1453,93,3749,196,42,23,8,69,1382,106,724,166,16,300,31,301,34,58,88,69,89,120338,1340,25500
2020-04-06,34971,20975,26258,564,1418,175,972,4,145,1753,200,1241,1386,95,4417,171,53,21,14,57,1613,135,781,240,27,374,51,406,40,88,106,80,94,158038,1318,29002
2020-04-07,33152,19869,24981,574,1553,161,1084,3,171,1415,244,1083,1316,127,4584,178,59,23,9,70,1445,145,890,204,28,341,49,357,52,95,78,60,77,156254,2024,30885
